experiment,batch,eligible,fraction,block,engine,n_repetitions,p50_ns,p95_ns,p50_spread_ratio,p95_spread_ratio,p50_min_ns,p50_max_ns,p95_min_ns,p95_max_ns,evaluation_recall_at_10,tuning_recall_at_10,filter_violations,process_returncode,started_unix,path
e2,16,10000,0.1,3,gpu-predicate,3,2263338,2357848,1.013831048695292,1.0088342159026114,2239888,2270868,2346558,2367288,1,1,0,0,1790266840.6294284,e2/b16-e10000/block-03/gpu-predicate/summary.txt
e2,16,10000,0.1,3,gpu-rows,3,2136628,2232559,1.0333553613571635,1.0321237312588,2135159,2206378,2192429,2262858,1,1,0,0,1790266988.585744,e2/b16-e10000/block-03/gpu-rows/summary.txt
e2,16,10000,0.1,4,cpu,3,62189283,74766356,1.006929120171132,1.4496781747776915,61808713,62236993,62583193,90725489,1,1,0,0,1790267194.6703787,e2/b16-e10000/block-04/cpu/summary.txt
e2,16,10000,0.1,4,gpu-mask,3,2267950,2316920,1.0145062302399108,1.0254820826264002,2258340,2291100,2308681,2367511,1,1,0,0,1790267327.9949832,e2/b16-e10000/block-04/gpu-mask/summary.txt
e2,16,10000,0.1,4,gpu-predicate,3,2265670,2345241,1.0014400658214804,1.0240128679902232,2263091,2266350,2303390,2358701,1,1,0,0,1790267401.521639,e2/b16-e10000/block-04/gpu-predicate/summary.txt
e2,16,10000,0.1,4,gpu-rows,3,2410861,3638341,1.3010755060162054,1.2908871848832242,1903941,2477171,2876751,3713561,1,1,0,0,1790267474.6291854,e2/b16-e10000/block-04/gpu-rows/summary.txt
e2,16,3000,0.03,0,cpu,3,5692315,5873945,1.0022947653448024,1.0211913020186325,5682934,5695975,5853864,5977915,1,1,0,0,1790265041.6415806,e2/b16-e3000/block-00/cpu/summary.txt
e2,16,3000,0.03,0,gpu-mask,3,1659638,1693358,1.010148034761278,1.0334188448590556,1643668,1660348,1672679,1728578,1,1,0,0,1790264914.206388,e2/b16-e3000/block-00/gpu-mask/summary.txt
e2,16,3000,0.03,0,gpu-predicate,3,1606168,1657108,1.1018513150327633,1.0184337536787311,1500609,1653448,1645948,1676289,1,1,0,0,1790264998.6606991,e2/b16-e3000/block-00/gpu-predicate/summary.txt
e2,16,3000,0.03,0,gpu-rows,3,964859,1104289,1.1664044028142884,1.246398539800475,869989,1014759,1085879,1353438,1,1,0,0,1790264957.3415859,e2/b16-e3000/block-00/gpu-rows/summary.txt
e2,16,3000,0.03,1,cpu,3,5529255,5860594,1.0729806381684415,1.2053861147863683,5498705,5900004,5717665,6891994,1,1,0,0,1790265086.5338135,e2/b16-e3000/block-01/cpu/summary.txt
e2,16,3000,0.03,1,gpu-mask,3,1626168,1934758,1.0163325083771273,1.0918570480614276,1600489,1626629,1803879,1969578,1,1,0,0,1790265216.061015,e2/b16-e3000/block-01/gpu-mask/summary.txt
e2,16,3000,0.03,1,gpu-predicate,3,1629619,1659279,1.0092430206265302,1.0256120357704421,1623928,1638938,1643368,1685458,1,1,0,0,1790265131.7868295,e2/b16-e3000/block-01/gpu-predicate/summary.txt
e2,16,3000,0.03,1,gpu-rows,3,805830,961329,1.2432497625356196,1.6377729140149946,800120,994749,910589,1491338,1,1,0,0,1790265174.864033,e2/b16-e3000/block-01/gpu-rows/summary.txt
e2,16,3000,0.03,2,cpu,3,5878134,6779284,1.0640177136916575,1.1779332074792375,5555025,5910645,6232614,7341603,1,1,0,0,1790265344.1094027,e2/b16-e3000/block-02/cpu/summary.txt
e2,16,3000,0.03,2,gpu-mask,3,1627769,1762348,1.093867376170238,1.0491218135020135,1489868,1629718,1684608,1767359,1,1,0,0,1790265301.000774,e2/b16-e3000/block-02/gpu-mask/summary.txt
e2,16,3000,0.03,2,gpu-predicate,3,1362769,1472509,1.0064993010672265,1.041113911033269,1357069,1365889,1431389,1490239,1,1,0,0,1790265389.320646,e2/b16-e3000/block-02/gpu-predicate/summary.txt
e2,16,3000,0.03,2,gpu-rows,3,1024109,1228959,1.214772759636981,1.3531247147780938,1018239,1236929,1062769,1438059,1,1,0,0,1790265259.4429657,e2/b16-e3000/block-02/gpu-rows/summary.txt
e2,16,3000,0.03,3,cpu,3,5878644,6679614,1.0285363439819175,1.1642115180751342,5858494,6025674,6656963,7750113,1,1,0,0,1790265473.4253533,e2/b16-e3000/block-03/cpu/summary.txt
e2,16,3000,0.03,3,gpu-mask,3,1656369,1707498,1.0076411248606991,1.0358354385969029,1652898,1665528,1704458,1765538,1,1,0,0,1790265562.1668477,e2/b16-e3000/block-03/gpu-mask/summary.txt
e2,16,3000,0.03,3,gpu-predicate,3,1649679,1711908,1.0128824447084297,1.0636227274530716,1633929,1654978,1688689,1796128,1,1,0,0,1790265518.8791366,e2/b16-e3000/block-03/gpu-predicate/summary.txt
e2,16,3000,0.03,3,gpu-rows,3,1078729,1189779,1.1866489048155977,1.2913754475743915,1070459,1270259,1134169,1464638,1,1,0,0,1790265432.006988,e2/b16-e3000/block-03/gpu-rows/summary.txt
