batch,eligible,fraction,metric,left,right,n_paired_blocks,median_log_left_over_right,ci95_low_log,ci95_high_log,median_left_over_right,ci95_low_ratio,ci95_high_ratio,e0_conservative_log_band,left_advantage_exceeds_e0_band,right_advantage_exceeds_e0_band
1,10000,0.1,p50_ns,gpu-rows,gpu-predicate,5,-0.1482408528480928,-0.4311277292314132,-0.07750657849271071,0.8622234209645748,0.6497759100964685,0.9254209365017272,0.6607423283170152,False,False
1,10000,0.1,p95_ns,gpu-rows,gpu-predicate,5,-0.0945216666418269,-0.5483179776354093,-0.02793612833463023,0.9098080219279344,0.5779210694755624,0.9724504768491357,0.6881421068218078,False,False
1,10000,0.1,p50_ns,gpu-rows,gpu-mask,5,-0.14080890834773013,-0.46868501512727634,-0.11763999387261291,0.8686552886131154,0.6258246774201899,0.8890160462353194,0.6607423283170152,False,False
1,10000,0.1,p95_ns,gpu-rows,gpu-mask,5,-0.1311578037520508,-0.45372874302156013,0.010897750944738108,0.8770793570565536,0.6352550272361249,1.010957347726111,0.6881421068218078,False,False
1,10000,0.1,p50_ns,gpu-predicate,gpu-mask,5,-0.03755728589586321,-0.04079195330283878,0.022433455058994703,0.963139241846127,0.9600288400019119,1.0226869772554812,0.6607423283170152,False,False
1,10000,0.1,p95_ns,gpu-predicate,gpu-mask,5,-0.007330928701576433,-0.17584418611465033,0.0945892346138493,0.9926958770126468,0.8387486618438804,1.0992072460908728,0.6881421068218078,False,False
1,10000,0.1,p50_ns,gpu-rows,cpu,5,-1.0573269037423456,-1.35834658122356,-0.9752511376923744,0.3473831589539684,0.2570854957235833,0.3770976382396935,0.6607423283170152,True,False
1,10000,0.1,p95_ns,gpu-rows,cpu,5,-0.9746097623652392,-1.4667601876206726,-0.9043691683929762,0.37733957693924397,0.230671608617285,0.40479716342085686,0.6881421068218078,True,False
1,10000,0.1,p50_ns,gpu-predicate,cpu,5,-0.9148390416611973,-0.9272188519921469,-0.894084540335621,0.40058109777010525,0.3956525499466659,0.40898183368837226,0.6607423283170152,True,False
1,10000,0.1,p95_ns,gpu-predicate,cpu,5,-0.918442209985263,-0.9466736340306089,-0.8116312622179697,0.3991403338636005,0.38802960759695715,0.4441329776327529,0.6881421068218078,True,False
1,10000,0.1,p50_ns,gpu-mask,cpu,5,-0.8854924909027629,-0.9165179953946158,-0.8576111438197616,0.4125109653464048,0.3999091049207748,0.4241741640508894,0.6607423283170152,True,False
1,10000,0.1,p95_ns,gpu-mask,cpu,5,-0.9152669193377145,-1.0130314445991124,-0.7581931582633106,0.40040973472456,0.36311654174685365,0.4685121900789902,0.6881421068218078,True,False
1,30000,0.3,p50_ns,gpu-rows,gpu-predicate,5,0.0021604583154906476,-0.21100702605336158,0.04243735935844105,1.0021627937871507,0.8097683773854589,1.0433506981695553,0.6607423283170152,False,False
1,30000,0.3,p95_ns,gpu-rows,gpu-predicate,5,0.039138742082503786,-0.03763614921108545,0.11915600611272838,1.0399147535803093,0.9630632884875006,1.1265456525882553,0.6881421068218078,False,False
1,30000,0.3,p50_ns,gpu-rows,gpu-mask,5,0.16501338716268646,0.011737403467598849,0.28502448983434286,1.1794089075446257,1.0118065570841315,1.3297945941720248,0.6607423283170152,False,False
1,30000,0.3,p95_ns,gpu-rows,gpu-mask,5,0.009047161706245184,-0.09382766399483954,0.21039913045278932,1.0090882109734465,0.9104396502539164,1.2341705567180996,0.6881421068218078,False,False
1,30000,0.3,p50_ns,gpu-predicate,gpu-mask,5,0.16565025960734361,-0.023375305406361575,0.44062217077909355,1.1801602798175754,0.9768957806968105,1.5536735681572649,0.6607423283170152,False,False
