block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
2,gpu-rows,100,1,0.161151,0.311612,0.01808,0.007776,0.00204,0.156701,2550,10501,2550.0,10501.0,166,0.935672514619883,1.0,1790345562.6241574
2,gpu-rows,1000,0,0.206021,0.219681,0.036096,0.009856,0.01533,0.187771,1950.0,810.0,1950,810,95,0.42168674698795183,1.0,1790345641.317275
2,gpu-rows,1000,1,0.192971,0.336302,0.027904,0.00768,0.01556,0.170761,2550.0,10501.0,2550,10501,203,0.9761904761904762,1.0,1790346348.6766162
2,gpu-rows,10000,0,0.646604,0.669583,0.213824,0.019232,0.215436,0.426583,705.0,810.0,1455,810,271,0.1271186440677966,1.0,1790346469.058426
2,gpu-rows,10000,1,0.602993,0.702114,0.130272,0.01248,0.240762,0.3614725,570,810,570,810,787,0.41530740276035133,1.0,1790345247.319656
2,gpu-rows,3000,0,0.474163,0.493552,0.148704,0.018976,0.082201,0.386272,735,810,735.0,810.0,180,0.2017291066282421,1.0,1790345654.6888216
2,gpu-rows,3000,1,0.257821,0.406073,0.051424,0.008,0.04746,0.207691,2550.0,10501.0,2550.0,10501.0,304,0.7901234567901234,1.0,1790346049.9985068
2,gpu-rows,30000,0,1.693979,1.74895,0.606912,0.044864,0.6355085,1.039016,210.0,405.0,1320,810,643,0.04139834406623735,1.0,1790345874.059332
2,gpu-rows,30000,1,0.967435,1.048186,0.311552,0.021312,0.366772,0.595173,210,405,210.0,405.0,2012,0.22693635915145535,1.0,1790346364.2557337
3,cpu,100,0,0.007574,0.008516,0.0,0.0,0.0,0.006412,210.0,405.0,0,0,0,0.0,1.0,1790350974.103835
3,cpu,100,1,0.007444,0.008346,0.0,0.0,0.0,0.006362,2550,10501,2550,10501,61,0.9518072289156626,1.0,1790350690.888549
3,cpu,1000,0,0.045636,0.050294,0.0,0.0,0.0,0.0445435,210.0,405.0,0,0,0,0.0,1.0,1790350956.3438637
3,cpu,1000,1,0.045705,0.050194,0.0,0.0,0.0,0.044593,2550,10501,2550.0,10501.0,110,0.5785123966942148,1.0,1790350385.3872883
3,cpu,10000,0,1.346788,1.482964,0.0,0.0,0.0,1.337687,210,405,0,0,0,0.0,1.0,1790350279.654132
3,cpu,10000,1,1.322583,1.456694,0.0,0.0,0.0,1.3173235,210.0,405.0,210.0,405.0,812,0.0975609756097561,1.0,1790351167.5886269
3,cpu,3000,0,0.125635,0.134682,0.0,0.0,0.0,0.124924,210.0,405.0,0,0,0,0.0,1.0,1790350675.648772
3,cpu,3000,1,0.128811,0.136776,0.0,0.0,0.0,0.12815,315,405,315,405,193,0.33816425120772947,1.0,1790350662.2526748
3,cpu,30000,0,4.902087,4.982858,0.0,0.0,0.0,4.8906555,210,405,0,0,0,0.0,1.0,1790350698.0700784
3,cpu,30000,1,4.927044,5.004529,0.0,0.0,0.0,4.918253,210,405,210.0,405.0,2916,0.027008547008547008,1.0,1790350510.5327973
3,gpu-predicate,100,0,0.777695,0.795708,0.644128,0.021728,0.0,0.77539,2835,10501,2835,10501,269,0.9297658862876255,1.0,1790350324.433247
3,gpu-predicate,100,1,0.836744,0.847666,0.644544,0.021664,0.0,0.8347155,2835,10501,2835.0,10501.0,330,0.9742120343839542,1.0,1790350849.038772
3,gpu-predicate,1000,0,0.786781,0.800267,0.650432,0.022752,0.0,0.782644,2835,10501,2835,10501,269,0.939209726443769,1.0,1790350126.9314246
3,gpu-predicate,1000,1,0.844269,0.857754,0.65024,0.022752,0.0,0.840221,2835,10501,2835,10501,371,0.9840848806366048,1.0,1790351143.673922
3,gpu-predicate,10000,0,0.809905,0.826034,0.643392,0.031904,0.0,0.785959,2550,10501,2835.0,10501.0,294,0.6003210272873194,1.0,1790350148.4353085
3,gpu-predicate,10000,1,0.865349,0.886688,0.64384,0.03184,0.0,0.843447,2550,10501,2550,10501,667,0.6469719350073855,1.0,1790350346.4359286
3,gpu-predicate,3000,0,0.795057,0.808503,0.651584,0.024992,0.0,0.78629,2835.0,10501.0,2835.0,10501.0,266,0.8615384615384616,1.0,1790351102.7693222
3,gpu-predicate,3000,1,0.852164,0.869997,0.651968,0.025024,0.0,0.8443945,2835,10501,2835.0,10501.0,434,0.9160997732426304,1.0,1790350993.6137044
3,gpu-predicate,30000,0,0.844359,0.861361,0.618784,0.042496,0.0,0.775841,210.0,405.0,2835,10501,295,0.2506345177664975,1.0,1790351018.7282736
3,gpu-predicate,30000,1,0.900634,0.921884,0.621312,0.043744,0.0,0.835192,210,405,210.0,405.0,1622,0.29123237277743713,1.0,1790350871.5485294
3,gpu-rows,100,0,0.086201,0.091932,0.017152,0.005088,0.001052,0.083587,2550.0,10501.0,2550.0,10501.0,40,0.7027027027027027,1.0,1790350965.3755748
3,gpu-rows,100,1,0.083206,0.200335,0.015584,0.004704,0.001041,0.080831,2550,10501,2550.0,10501.0,112,0.9572649572649573,1.0,1790351213.723185
