phase,cell,batch,eligible,block,engine,n_samples,started_unix,elapsed_s,clk_before_mhz,clk_end_mhz,temp_end_c,power_end_w,lat_p50_ns,lat_p95_ns,device_selection_med_ns,device_scoring_med_ns,backend_execution_med_ns,row_materialization_med_ns,upload_enqueue_med_ns,readback_completion_med_ns,device_total_med_ns
e2,b1-e100000,1,100000,2,gpu-rows,15000,1790260256.2114224,271.2000117301941,210.0,2775.0,34.0,90.93,2556797,2662457,1044384.0,166720.0,2134597.0,337289.0,54519.5,1328498.0,1211104.0
e2,b1-e100000,1,100000,2,gpu-predicate,15000,1790260557.4520087,254.1874487400055,210.0,2775.0,34.0,104.89,1536918,1592678,695456.0,167680.0,1152899.0,299664.5,55920.0,978229.0,863072.0
e2,b1-e100000,1,100000,2,gpu-mask,15000,1790259512.5856578,257.34739661216736,210.0,2775.0,33.0,99.13,1691257,1903607,695616.0,166720.0,1284538.5,322970.0,54830.0,960028.0,862304.0
e2,b1-e100000,1,100000,3,cpu,15000,1790261714.4621289,425.82582116127014,210.0,210.0,27.0,15.5,11547078,12292558,,,11537208.0,,,,
e2,b1-e100000,1,100000,3,gpu-rows,15000,1790261127.1420388,270.83501386642456,210.0,2775.0,34.0,91.61,2570178,2880237,1044416.0,166720.0,2138608.0,342194.5,55120.0,1311404.0,1211104.0
e2,b1-e100000,1,100000,3,gpu-predicate,15000,1790260841.6768446,255.4246437549591,210.0,2775.0,34.0,103.94,1547488,1609439,695520.0,167680.0,1155799.0,311409.0,56040.0,983779.0,863168.0
e2,b1-e100000,1,100000,3,gpu-mask,15000,1790261428.0172396,256.400262594223,210.0,2775.0,34.0,102.69,1700548,1809408,695456.0,166720.0,1304678.5,309339.5,55900.0,980319.0,862112.0
e2,b1-e100000,1,100000,4,cpu,15000,1790262458.3220775,423.89671444892883,210.0,210.0,27.0,14.91,11545368,11957218,,,11535488.5,,,,
e2,b1-e100000,1,100000,4,gpu-rows,15000,1790262912.2603173,271.4711425304413,210.0,2775.0,34.0,92.25,2396799,2943738,1044224.0,166720.0,1960818.0,306694.5,47120.0,1295083.5,1210912.0
e2,b1-e100000,1,100000,4,gpu-predicate,15000,1790263213.7725222,257.54117703437805,210.0,2775.0,35.0,104.71,1535089,1679119,694944.0,167648.0,1139894.0,311234.5,56170.0,961219.0,862560.0
e2,b1-e100000,1,100000,4,gpu-mask,15000,1790262170.3291245,257.96061539649963,210.0,2775.0,34.0,99.68,1690358,1933398,695424.0,166720.0,1277769.0,325519.5,53360.0,955259.0,862080.0
e2,b1-e3000,1,3000,0,cpu,15000,1790249480.3271995,15.069045305252075,210.0,210.0,25.0,13.89,349999,481449,,,347044.5,,,,
e2,b1-e3000,1,3000,0,gpu-rows,15000,1790249429.9388902,20.34738326072693,210.0,495.0,26.0,17.15,646859,753909,198368.0,17024.0,456039.0,180640.0,19960.0,327365.0,215616.0
e2,b1-e3000,1,3000,0,gpu-predicate,15000,1790249370.5337572,29.37280011177063,210.0,2745.0,30.0,83.02,1182768,1262478,711168.0,26112.0,987909.0,182950.0,49294.5,824899.0,737152.0
e2,b1-e3000,1,3000,0,gpu-mask,15000,1790249310.4372022,30.0553936958313,210.0,2745.0,30.0,80.38,1211298,1297538,711136.0,24672.0,1013169.0,182679.0,54720.0,822829.0,735712.0
e2,b1-e3000,1,3000,1,cpu,15000,1790249583.3076868,17.018052101135254,210.0,210.0,25.0,14.6,419299,621369,,,415884.0,,,,
e2,b1-e3000,1,3000,1,gpu-rows,15000,1790249630.354937,17.20671510696411,210.0,840.0,26.0,28.28,421739,570569,133344.0,12448.0,306479.0,90715.0,11929.5,231534.5,145696.0
e2,b1-e3000,1,3000,1,gpu-predicate,15000,1790249677.5918102,28.39085865020752,210.0,2745.0,30.0,82.08,1084968,1253607,711136.0,26112.0,931523.5,145889.5,44130.0,813228.5,737120.0
e2,b1-e3000,1,3000,1,gpu-mask,15000,1790249525.434136,27.832781314849854,210.0,2745.0,30.0,82.56,1043849,1226268,711136.0,24672.0,918618.5,120250.0,40490.0,807309.0,735680.0
e2,b1-e3000,1,3000,2,cpu,15000,1790249795.912586,15.383031129837036,210.0,210.0,25.0,14.34,364730,389049,,,361769.5,,,,
e2,b1-e3000,1,3000,2,gpu-rows,15000,1790249900.4888976,17.33458185195923,210.0,765.0,26.0,27.37,437859,575979,98208.0,9728.0,286324.5,140580.0,15320.0,193319.5,108288.0
e2,b1-e3000,1,3000,2,gpu-predicate,15000,1790249841.3368652,29.120425939559937,210.0,2745.0,30.0,81.58,1191718,1296538,711200.0,26112.0,990878.0,179155.0,49370.0,846568.5,737184.0
e2,b1-e3000,1,3000,2,gpu-mask,15000,1790249736.0227828,29.848559379577637,210.0,2745.0,31.0,80.65,1228788,1265218,711136.0,24672.0,1025408.5,183269.0,55350.0,833933.5,735712.0
